;book_id;title;author;avg_rating;user_rating;bookshelf
0;124943888;A Court of Silver Flames (Part 2 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses, #4);Maas, Sarah J.;4.84;5;read
1;124943884;A Court of Silver Flames (Part 1 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses, #4);Maas, Sarah J.;4.75;5;read
2;62845957;A Court of Wings and Ruin (Part 2 of 3) [Dramatized Adaptation] (A Court of Thorns and Roses, #3);Maas, Sarah J.;4.76;5;read
3;60802408;A Court of Thorns and Roses (Part 2 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses, #1);Maas, Sarah J.;4.66;5;read
4;60675812;A Court of Thorns and Roses (Part 1 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses, #1);Maas, Sarah J.;4.53;5;read
5;67771230;A Court of Wings and Ruin (Part 3 of 3) [Dramatized Adaptation] (A Court of Thorns and Roses, #3);Maas, Sarah J.;4.79;5;read
6;61219508;A Court of Wings and Ruin ( Part 1 of 3) [Dramatized Adaptation] (A Court of Thorns and Roses, #3);Maas, Sarah J.;4.74;5;read
7;61117474;A Court of Mist and Fury (Part 2 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses #2);Maas, Sarah J.;4.83;5;read
8;61029196;A Court of Mist and Fury (Part 1 of 2) [Dramatized Adaptation] (A Court of Thorns and Roses, #2);Maas, Sarah J.;4.77;5;read
9;90202302;Iron Flame (The Empyrean, #2);Yarros, Rebecca;4.54;5;read
10;61431922;Fourth Wing (The Empyrean, #1);Yarros, Rebecca;4.64;5;read
11;126062562;The Assassin's Blade (Throne of Glass, #0.1-0.5);Maas, Sarah J.;4.27;3;read
12;53138095;A ​Court of Silver Flames (A Court of Thorns and Roses, #4);Maas, Sarah J.;4.46;5;read
13;50659472;A Court of Wings and Ruin (A Court of Thorns and Roses, #3);Maas, Sarah J.;4.46;5;read
14;50659471;A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5);Maas, Sarah J.;3.78;3;read
15;10664113;A Dance with Dragons (A Song of Ice and Fire, #5);Martin, George R.R.;4.33;5;read
16;100915;The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);Lewis, C.S.;4.23;4;read
17;136251;Harry Potter and the Deathly Hallows (Harry Potter, #7);Rowling, J.K.;4.62;5;read
18;50659468;A Court of Mist and Fury (A Court of Thorns and Roses, #2);Maas, Sarah J.;4.64;5;read
19;10964;Outlander (Outlander, #1);Gabaldon, Diana;4.26;;read
20;21567845;Jakten på Kapten klänning;Trolle, Jonas;3.24;4;read
21;77203;The Kite Runner;Hosseini, Khaled;4.34;5;read
22;20588698;"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""";Dunham, Lena;3.28;2;read
23;31682628;Hjärnstark;Hansen, Anders;3.95;3;read
24;22041071;Omgiven av idioter;Erikson, Thomas;3.47;2;read
